Date Timed DHT22, Temperature DHT22,Date Time DHT11, Temperature DHT11
2020-09-01 16:45,27.9,2020-09-01 16:37,28.5
2020-09-01 16:42,28,2020-09-01 16:37,29
2020-09-01 16:40,28.1,2020-09-01 16:27,29.7
2020-09-01 16:30,27.9,2020-09-01 16:17,29.7
2020-09-01 16:20,27.8,2020-09-01 16:07,30
2020-09-01 16:10,27.8,2020-09-01 16:07,29.6
2020-09-01 16:08,27.8,2020-09-01 15:57,29.1
2020-09-01 16:08,27.6,2020-09-01 15:47,29
2020-09-01 16:06,27.3,2020-09-01 15:46,28.9
2020-09-01 16:04,27.5,2020-09-01 15:46,28.8
2020-09-01 16:00,27.4,2020-09-01 15:36,29.8
2020-09-01 15:59,27.6,2020-09-01 15:26,29.7
2020-09-01 15:56,27.4,2020-09-01 15:16,29.6
2020-09-01 15:53,26.9,2020-09-01 15:06,29.6
2020-09-01 15:50,27,2020-09-01 14:56,29.4
2020-09-01 15:47,26.7,2020-09-01 14:46,29.4
2020-09-01 15:45,26.6,2020-09-01 14:46,29.5
2020-09-01 15:43,27,2020-09-01 12:27,31.3
2020-09-01 15:41,27,2020-09-01 12:17,31.6
2020-09-01 15:40,27.2,2020-09-01 12:07,31.1
2020-09-01 15:40,27.2,2020-09-01 11:57,31.5
2020-09-01 15:38,27.2,2020-09-01 11:47,31.1
2020-09-01 15:37,27.2,2020-09-01 11:37,30.8
2020-09-01 15:36,27.1,2020-09-01 11:27,30.8
2020-09-01 15:35,27.2,2020-09-01 11:17,30.3
2020-09-01 15:30,27.6,2020-09-01 11:07,30
2020-09-01 15:25,28.6,2020-09-01 10:57,29.7
2020-09-01 15:20,28.3,2020-09-01 10:47,29.3
2020-09-01 15:16,27.7,2020-09-01 10:37,29
2020-09-01 15:09,27.8,2020-09-01 10:27,28.8
2020-09-01 15:05,27.6,2020-09-01 10:17,28.3
2020-09-01 14:58,27.3,2020-09-01 10:07,28.2
2020-09-01 14:56,27.1,2020-09-01 9:57,27.9
2020-09-01 14:48,27.5,2020-09-01 9:47,27.4
2020-09-01 14:44,27.5,2020-09-01 9:37,26.9
2020-09-01 14:43,27.3,2020-09-01 9:27,26.6
2020-09-01 14:35,27.3,2020-09-01 9:17,26.5
2020-09-01 14:33,28.7,2020-09-01 9:07,25.7
2020-09-01 14:23,27.8,2020-09-01 8:57,25
2020-09-01 14:16,27.5,2020-09-01 8:47,24.5
2020-09-01 14:15,27.4,2020-09-01 8:37,24.4
2020-09-01 14:05,26.6,2020-09-01 8:27,23.9
2020-09-01 13:55,26.8,2020-09-01 8:17,23.6
2020-09-01 13:53,26.8,2020-09-01 8:07,23.4
2020-09-01 13:48,27.2,2020-09-01 7:57,23.1
2020-09-01 13:46,27.4,2020-09-01 7:47,23
2020-09-01 13:44,27.6,2020-09-01 7:37,23.3
2020-09-01 13:40,27.9,2020-09-01 7:27,22.8
2020-09-01 13:37,27.9,2020-09-01 7:17,22.9
2020-09-01 13:35,27.7,2020-09-01 7:07,22.9
2020-09-01 13:35,27.8,2020-09-01 6:57,22.7
2020-09-01 13:34,27.7,2020-09-01 6:47,22.8
2020-09-01 13:32,28.1,2020-09-01 6:37,22.7
2020-09-01 13:28,27.2,2020-09-01 6:27,22.7
2020-09-01 13:26,27.1,2020-09-01 6:17,22.7
2020-09-01 13:26,27,2020-09-01 6:07,22.7
2020-09-01 13:22,27.4,2020-09-01 5:57,22.8
2020-09-01 13:20,27.7,2020-09-01 5:47,22.5
2020-09-01 13:16,27.7,2020-09-01 5:37,22.6
2020-09-01 13:14,28.3,2020-09-01 5:27,22.3
2020-09-01 13:13,28,2020-09-01 5:17,22.7
2020-09-01 13:13,28.2,2020-09-01 5:07,24.1
2020-09-01 13:10,28.4,2020-09-01 4:57,23.3
2020-09-01 13:09,28.2,2020-09-01 4:47,23.2
2020-09-01 13:07,28.1,2020-09-01 4:36,22.9
2020-09-01 13:06,28,2020-09-01 4:26,23.2
2020-09-01 13:00,28.1,2020-09-01 4:16,23
2020-09-01 12:58,28.2,2020-09-01 4:06,23
2020-09-01 12:57,28.2,2020-09-01 3:56,23.1
2020-09-01 12:56,28.1,2020-09-01 3:46,23
2020-09-01 12:45,27.8,2020-09-01 3:36,22.7
2020-09-01 12:33,27.9,2020-09-01 3:26,22.7
2020-09-01 12:31,27.9,2020-09-01 3:16,22.7
2020-09-01 12:27,28.1,2020-09-01 3:06,22.5
2020-09-01 12:23,27.8,2020-09-01 2:56,22.6
2020-09-01 12:18,27.9,2020-09-01 2:46,22.8
2020-09-01 12:12,28.1,2020-09-01 2:36,23
2020-09-01 12:06,27.5,2020-09-01 2:26,23.2
2020-09-01 12:04,27.2,2020-09-01 2:16,23.7
2020-09-01 11:59,27.7,2020-09-01 2:06,23.7
2020-09-01 11:57,27.9,2020-09-01 1:56,23.9
