Date Timed DHT22, Temperature DHT22
2020-09-01 16:45:18,27.9
2020-09-01 16:42:37,28.0
2020-09-01 16:40:54,28.1
2020-09-01 16:30:47,27.9
2020-09-01 16:20:48,27.8
2020-09-01 16:10:45,27.8
2020-09-01 16:08:58,27.8
2020-09-01 16:08:27,27.6
2020-09-01 16:06:52,27.3
2020-09-01 16:04:07,27.5
2020-09-01 16:00:46,27.4
2020-09-01 15:59:10,27.6
2020-09-01 15:56:51,27.4
2020-09-01 15:53:33,26.9
2020-09-01 15:50:59,27.0
2020-09-01 15:47:02,26.7
2020-09-01 15:45:03,26.6
2020-09-01 15:43:17,27.0
2020-09-01 15:41:59,27.0
2020-09-01 15:40:47,27.2
2020-09-01 15:40:12,27.2
2020-09-01 15:38:42,27.2
2020-09-01 15:37:33,27.2
2020-09-01 15:36:42,27.1
2020-09-01 15:35:39,27.2
2020-09-01 15:30:36,27.6
2020-09-01 15:25:00,28.6
2020-09-01 15:20:59,28.3
2020-09-01 15:16:57,27.7
2020-09-01 15:09:11,27.8
2020-09-01 15:05:45,27.6
2020-09-01 14:58:17,27.3
2020-09-01 14:56:38,27.1
2020-09-01 14:48:43,27.5
2020-09-01 14:44:13,27.5
2020-09-01 14:43:40,27.3
2020-09-01 14:35:21,27.3
2020-09-01 14:33:55,28.7
2020-09-01 14:23:55,27.8
2020-09-01 14:16:10,27.5
2020-09-01 14:15:00,27.4
2020-09-01 14:05:28,26.6
2020-09-01 13:55:28,26.8
2020-09-01 13:53:27,26.8
2020-09-01 13:48:41,27.2
2020-09-01 13:46:45,27.4
2020-09-01 13:44:37,27.6
2020-09-01 13:40:32,27.9
2020-09-01 13:37:35,27.9
2020-09-01 13:35:54,27.7
2020-09-01 13:35:28,27.8
2020-09-01 13:34:53,27.7
2020-09-01 13:32:59,28.1
2020-09-01 13:28:24,27.2
2020-09-01 13:26:42,27.1
2020-09-01 13:26:07,27.0
2020-09-01 13:22:38,27.4
2020-09-01 13:20:38,27.7
2020-09-01 13:16:57,27.7
2020-09-01 13:14:43,28.3
2020-09-01 13:13:37,28.0
2020-09-01 13:13:03,28.2
2020-09-01 13:10:24,28.4
2020-09-01 13:09:56,28.2
2020-09-01 13:07:32,28.1
2020-09-01 13:06:08,28.0
2020-09-01 13:00:01,28.1
2020-09-01 12:58:38,28.2
2020-09-01 12:57:27,28.2
2020-09-01 12:56:21,28.1
2020-09-01 12:45:00,27.8
2020-09-01 12:33:40,27.9
2020-09-01 12:31:47,27.9
2020-09-01 12:27:39,28.1
2020-09-01 12:23:21,27.8
2020-09-01 12:18:01,27.9
2020-09-01 12:12:46,28.1
2020-09-01 12:06:27,27.5
2020-09-01 12:04:40,27.2
